id,name,loaning_club,player_value_in_moment_of_transfer,transfer_cost,league,year,market_value_in_eur,delta_value
233124,Kortney Hause,Aston Villa,1000000,Wypożyczenie,GB2,2018,2000000,1000000
287247,Krystian Bielik,Birmingham City,4000000,Wypożyczenie,GB2,2022,3000000,-1000000
287247,Krystian Bielik,Charlton Athletic,2000000,Wypożyczenie,GB3,2018,3000000,1000000
444208,Michael Obafemi,FC Burnley,4000000,Wypożyczenie,GB2,2022,4000000,0
341501,Hamza Choudhury,FC Watford,4000000,Wypożyczenie,GB2,2022,5000000,1000000
290017,Hassane Kamara,FC Watford,4000000,Wypożyczenie,GB2,2022,8000000,4000000
503679,Rhys Williams,FC Blackpool,4000000,Wypożyczenie,GB2,2022,3000000,-1000000
503679,Rhys Williams,Swansea City,5000000,Wypożyczenie,GB2,2021,3000000,-2000000
435062,Callum Styles,FC Millwall,3000000,Wypożyczenie,GB2,2022,3000000,0
435062,Callum Styles,FC Bury,250000,Wypożyczenie,GB4,2018,3000000,2750000
433181,Tino Anjorin,Huddersfield Town,3000000,Wypożyczenie,GB2,2022,2000000,-1000000
433181,Tino Anjorin,Huddersfield Town,3000000,Wypożyczenie,GB2,2021,2000000,-1000000
583199,James McAtee,Sheffield United,3000000,Wypożyczenie,GB2,2022,6000000,3000000
465606,Halil Dervisoglu,FC Burnley,3000000,Wypożyczenie,GB2,2022,2000000,-1000000
597659,Charlie Cresswell,FC Millwall,3000000,Wypożyczenie,GB2,2022,5000000,2000000
531957,Cody Drameh,Luton Town,3000000,Wypożyczenie,GB2,2022,3000000,0
531957,Cody Drameh,Cardiff City,1000000,Wypożyczenie,GB2,2021,3000000,2000000
512354,Malcolm Ebiowei,Hull City,3000000,Wypożyczenie,GB2,2022,3000000,0
618494,Tyler Morton,Blackburn Rovers,3000000,Wypożyczenie,GB2,2022,7000000,4000000
659521,Edouard Michut,AFC Sunderland,3000000,Wypożyczenie,GB2,2022,2000000,-1000000
665390,Jaden Philogene,Cardiff City,3000000,Wypożyczenie,GB2,2022,2000000,-1000000
665390,Jaden Philogene,Stoke City,500000,Wypożyczenie,GB2,2021,2000000,1500000
504581,Ryan Giles,FC Middlesbrough,3000000,Wypożyczenie,GB2,2022,7000000,4000000
504581,Ryan Giles,Blackburn Rovers,2000000,Wypożyczenie,GB2,2021,7000000,5000000
504581,Ryan Giles,Cardiff City,1000000,Wypożyczenie,GB2,2021,7000000,6000000
504581,Ryan Giles,Rotherham United,1000000,Wypożyczenie,GB2,2020,7000000,6000000
504581,Ryan Giles,Coventry City,0,Wypożyczenie,GB2,2020,7000000,7000000
504581,Ryan Giles,Coventry City,0,Wypożyczenie,GB3,2019,7000000,7000000
504581,Ryan Giles,Shrewsbury Town,0,Wypożyczenie,GB3,2019,7000000,7000000
341317,Oliver Burke,FC Millwall,3000000,Wypożyczenie,GB2,2022,3000000,0
341317,Oliver Burke,FC Millwall,5000000,Wypożyczenie,GB2,2021,3000000,-2000000
229695,Bersant Celina,Stoke City,3000000,Wypożyczenie,GB2,2022,3000000,0
229695,Bersant Celina,Ipswich Town,3000000,Wypożyczenie,GB3,2021,3000000,0
646658,Aaron Ramsey,FC Middlesbrough,3000000,Wypożyczenie,GB2,2022,5000000,2000000
646658,Aaron Ramsey,Norwich City,1000000,Wypożyczenie,GB2,2022,5000000,4000000
646658,Aaron Ramsey,Cheltenham Town,1000000,Wypożyczenie,GB3,2021,5000000,4000000
534700,Jamie Shackleton,FC Millwall,2000000,Wypożyczenie,GB2,2022,2000000,0
392777,Jonathan Panzo,Coventry City,2000000,Wypożyczenie,GB2,2022,3000000,1000000
433183,Tommy Doyle,Sheffield United,2000000,Wypożyczenie,GB2,2022,5000000,3000000
433183,Tommy Doyle,Cardiff City,1000000,Wypożyczenie,GB2,2021,5000000,4000000
696589,Tim Iroegbunam,Queens Park Rangers,2000000,Wypożyczenie,GB2,2022,4000000,2000000
355689,Sory Kaba,Cardiff City,2000000,Wypożyczenie,GB2,2022,2000000,0
183302,Ben Pearson,Stoke City,2000000,Wypożyczenie,GB2,2022,2000000,0
412660,Keinan Davis,FC Watford,2000000,Wypożyczenie,GB2,2022,3000000,1000000
412660,Keinan Davis,Nottingham Forest,3000000,Wypożyczenie,GB2,2021,3000000,0
591193,Niels Nkounkou,Cardiff City,2000000,Wypożyczenie,GB2,2022,3000000,1000000
224884,Abdul-Rahman Baba,FC Reading,2000000,Wypożyczenie,GB2,2022,1000000,-1000000
224884,Abdul-Rahman Baba,FC Reading,2000000,Wypożyczenie,GB2,2021,1000000,-1000000
249873,Tariqe Fosu,Stoke City,2000000,Wypożyczenie,GB2,2022,2000000,0
249873,Tariqe Fosu,Rotherham United,2000000,Wypożyczenie,GB2,2022,2000000,0
392763,Ian Poveda,FC Blackpool,2000000,Wypożyczenie,GB2,2022,1000000,-1000000
392763,Ian Poveda,Blackburn Rovers,1000000,Wypożyczenie,GB2,2021,1000000,0
811778,Álvaro Fernandez,Preston North End,2000000,Wypożyczenie,GB2,2022,6000000,4000000
61560,Marc Albrighton,West Bromwich Albion,2000000,Wypożyczenie,GB2,2022,2000000,0
293257,Matija Sarkic,Stoke City,2000000,Wypożyczenie,GB2,2022,2000000,0
293257,Matija Sarkic,Birmingham City,100000,Wypożyczenie,GB2,2021,2000000,1900000
293257,Matija Sarkic,Shrewsbury Town,100000,Wypożyczenie,GB3,2020,2000000,1900000
389253,Auston Trusty,Birmingham City,2000000,Wypożyczenie,GB2,2022,9000000,7000000
581674,Charlie Patino,FC Blackpool,2000000,Wypożyczenie,GB2,2022,8000000,6000000
506470,Josh Bowler,FC Blackpool,2000000,Wypożyczenie,GB2,2022,2000000,0
506470,Josh Bowler,Hull City,0,Wypożyczenie,GB2,2019,2000000,2000000
444211,Will Smallbone,Stoke City,2000000,Wypożyczenie,GB2,2022,2000000,0
99397,Karl Darlow,Hull City,1000000,Wypożyczenie,GB2,2022,1000000,0
340322,Nathan Tella,FC Burnley,1000000,Wypożyczenie,GB2,2022,12000000,11000000
503743,Morgan Rogers,FC Blackpool,1000000,Wypożyczenie,GB2,2022,1000000,0
503743,Morgan Rogers,AFC Bournemouth,1000000,Wypożyczenie,GB2,2021,1000000,0
503743,Morgan Rogers,Lincoln City,1000000,Wypożyczenie,GB3,2020,1000000,0
391719,Domingos Quina,Rotherham United,1000000,Wypożyczenie,GB2,2022,1000000,0
391719,Domingos Quina,FC Fulham,3000000,Wypożyczenie,GB2,2021,1000000,-2000000
391719,Domingos Quina,FC Barnsley,2000000,Wypożyczenie,GB2,2021,1000000,-1000000
98240,Ciaran Clark,Sheffield United,1000000,Wypożyczenie,GB2,2022,700000,-300000
383109,Przemyslaw Placheta,Birmingham City,1000000,Wypożyczenie,GB2,2022,2000000,1000000
346499,Danel Sinani,Wigan Athletic,1000000,Wypożyczenie,GB2,2022,1000000,0
346499,Danel Sinani,Huddersfield Town,550000,Wypożyczenie,GB2,2021,1000000,450000
239949,Jamal Lowe,Queens Park Rangers,1000000,Wypożyczenie,GB2,2022,1000000,0
469064,Gavin Kilkenny,Stoke City,1000000,Wypożyczenie,GB2,2022,500000,-500000
469064,Gavin Kilkenny,Charlton Athletic,700000,Wypożyczenie,GB3,2022,500000,-200000
289846,Ashley Fletcher,Wigan Athletic,1000000,Wypożyczenie,GB2,2022,800000,-200000
149237,Anthony Knockaert,Huddersfield Town,1000000,Wypożyczenie,GB2,2022,1000000,0
149237,Anthony Knockaert,Nottingham Forest,5000000,Wypożyczenie,GB2,2020,1000000,-4000000
728733,Brooke Norton-Cuffy,Coventry City,1000000,Wypożyczenie,GB2,2022,1000000,0
728733,Brooke Norton-Cuffy,Rotherham United,400000,Wypożyczenie,GB2,2022,1000000,600000
728733,Brooke Norton-Cuffy,Lincoln City,0,Wypożyczenie,GB3,2021,1000000,1000000
124845,Grant Hall,Rotherham United,1000000,Wypożyczenie,GB2,2022,900000,-100000
470594,Clinton Mola,Blackburn Rovers,1000000,Wypożyczenie,GB2,2022,800000,-200000
622380,Cesare Casadei,FC Reading,1000000,Wypożyczenie,GB2,2022,6000000,5000000
568535,Theo Corbeanu,FC Blackpool,1000000,Wypożyczenie,GB2,2022,1000000,0
568535,Theo Corbeanu,Milton Keynes Dons,1000000,Wypożyczenie,GB3,2021,1000000,0
568535,Theo Corbeanu,Sheffield Wednesday,500000,Wypożyczenie,GB3,2021,1000000,500000
346315,Dujon Sterling,Stoke City,1000000,Wypożyczenie,GB2,2022,800000,-200000
346315,Dujon Sterling,FC Blackpool,900000,Wypożyczenie,GB2,2021,800000,-100000
346315,Dujon Sterling,Wigan Athletic,0,Wypożyczenie,GB2,2019,800000,800000
346315,Dujon Sterling,Coventry City,0,Wypożyczenie,GB3,2018,800000,800000
419025,Conor Coventry,Rotherham United,1000000,Wypożyczenie,GB2,2022,1000000,0
419025,Conor Coventry,Peterborough United,200000,Wypożyczenie,GB2,2021,1000000,800000
419025,Conor Coventry,Milton Keynes Dons,300000,Wypożyczenie,GB3,2021,1000000,700000
419025,Conor Coventry,Lincoln City,0,Wypożyczenie,GB3,2019,1000000,1000000
336367,Joe Lumley,FC Reading,1000000,Wypożyczenie,GB2,2022,1000000,0
336367,Joe Lumley,Doncaster Rovers,600000,Wypożyczenie,GB3,2020,1000000,400000
336367,Joe Lumley,FC Gillingham,600000,Wypożyczenie,GB3,2020,1000000,400000
405686,Reda Khadra,Birmingham City,1000000,Wypożyczenie,GB2,2022,1000000,0
405686,Reda Khadra,Sheffield United,1000000,Wypożyczenie,GB2,2022,1000000,0
405686,Reda Khadra,Blackburn Rovers,150000,Wypożyczenie,GB2,2021,1000000,850000
576121,Josh Wilson-Esbrand,Coventry City,1000000,Wypożyczenie,GB2,2022,1000000,0
535927,Luke McNally,Coventry City,900000,Wypożyczenie,GB2,2022,900000,0
532541,Luke Cundle,Swansea City,800000,Wypożyczenie,GB2,2022,1000000,200000
571821,Christ Tiehi,Wigan Athletic,800000,Wypożyczenie,GB2,2022,1000000,200000
547533,Miguel Azeez,Wigan Athletic,800000,Wypożyczenie,GB2,2022,800000,0
547533,Miguel Azeez,FC Portsmouth,500000,Wypożyczenie,GB3,2021,800000,300000
420808,George Hirst,Blackburn Rovers,800000,Wypożyczenie,GB2,2022,800000,0
420808,George Hirst,Ipswich Town,800000,Wypożyczenie,GB3,2022,800000,0
420808,George Hirst,FC Portsmouth,800000,Wypożyczenie,GB3,2021,800000,0
420808,George Hirst,Rotherham United,450000,Wypożyczenie,GB2,2020,800000,350000
364827,Cédric Kipré,Cardiff City,800000,Wypożyczenie,GB2,2022,1000000,200000
242284,Ethan Horvath,Luton Town,800000,Wypożyczenie,GB2,2022,1000000,200000
661208,Leo Fuhr Hjelde,Rotherham United,800000,Wypożyczenie,GB2,2022,1000000,200000
578292,Omar Rekik,Wigan Athletic,800000,Wypożyczenie,GB2,2022,600000,-200000
728982,Scott High,Rotherham United,800000,Wypożyczenie,GB2,2022,900000,100000
728982,Scott High,Shrewsbury Town,0,Wypożyczenie,GB3,2020,900000,900000
376856,Charlie Goode,FC Blackpool,800000,Wypożyczenie,GB2,2022,800000,0
376856,Charlie Goode,Sheffield United,1000000,Wypożyczenie,GB2,2021,800000,-200000
376856,Charlie Goode,Northampton Town,100000,Wypożyczenie,GB4,2018,800000,700000
147419,Bailey Wright,Rotherham United,700000,Wypożyczenie,GB2,2022,700000,0
147419,Bailey Wright,AFC Sunderland,1000000,Wypożyczenie,GB3,2019,700000,-300000
511550,Ellis Simms,AFC Sunderland,600000,Wypożyczenie,GB2,2022,4000000,3400000
511550,Ellis Simms,FC Blackpool,0,Wypożyczenie,GB3,2020,4000000,4000000
609883,Luke Mbete,Huddersfield Town,600000,Wypożyczenie,GB2,2022,2000000,1400000
609883,Luke Mbete,Bolton Wanderers,2000000,Wypożyczenie,GB3,2022,2000000,0
689893,Rarmani Edmonds-Green,Wigan Athletic,600000,Wypożyczenie,GB2,2022,500000,-100000
689893,Rarmani Edmonds-Green,Rotherham United,500000,Wypożyczenie,GB3,2021,500000,0
689893,Rarmani Edmonds-Green,Swindon Town,150000,Wypożyczenie,GB4,2019,500000,350000
495993,Dion Sanderson,Birmingham City,600000,Wypożyczenie,GB2,2022,3000000,2400000
495993,Dion Sanderson,Queens Park Rangers,300000,Wypożyczenie,GB2,2021,3000000,2700000
495993,Dion Sanderson,Birmingham City,150000,Wypożyczenie,GB2,2021,3000000,2850000
495993,Dion Sanderson,AFC Sunderland,150000,Wypożyczenie,GB3,2020,3000000,2850000
495993,Dion Sanderson,Cardiff City,0,Wypożyczenie,GB2,2019,3000000,3000000
566802,Lewis Fiorini,FC Blackpool,600000,Wypożyczenie,GB2,2022,1000000,400000
566802,Lewis Fiorini,Lincoln City,400000,Wypożyczenie,GB3,2021,1000000,600000
817688,Callum Doyle,Coventry City,600000,Wypożyczenie,GB2,2022,5000000,4400000
817688,Callum Doyle,AFC Sunderland,0,Wypożyczenie,GB3,2021,5000000,5000000
344009,Nathan Broadhead,Wigan Athletic,500000,Wypożyczenie,GB2,2022,700000,200000
344009,Nathan Broadhead,AFC Sunderland,500000,Wypożyczenie,GB3,2021,700000,200000
344009,Nathan Broadhead,Burton Albion,0,Wypożyczenie,GB3,2019,700000,700000
725703,Joseph Hungbo,Huddersfield Town,450000,Wypożyczenie,GB2,2022,450000,0
484551,Taylor Richards,Queens Park Rangers,400000,Wypożyczenie,GB2,2022,400000,0
484551,Taylor Richards,Birmingham City,400000,Wypożyczenie,GB2,2021,400000,0
484551,Taylor Richards,Doncaster Rovers,0,Wypożyczenie,GB3,2020,400000,400000
581675,Harvey Vale,Hull City,400000,Wypożyczenie,GB2,2022,2000000,1600000
587019,Fin Stevens,Swansea City,400000,Wypożyczenie,GB2,2022,400000,0
102258,Matthew Lowton,Huddersfield Town,400000,Wypożyczenie,GB2,2022,400000,0
528892,Harry Clarke,Stoke City,350000,Wypożyczenie,GB2,2022,600000,250000
528892,Harry Clarke,Oldham Athletic,0,Wypożyczenie,GB4,2020,600000,600000
690478,Matthew Sorinola,Swansea City,350000,Wypożyczenie,GB2,2022,800000,450000
452707,Jordan Smith,Huddersfield Town,300000,Wypożyczenie,GB2,2022,300000,0
452707,Jordan Smith,FC Barnsley,250000,Wypożyczenie,GB3,2018,300000,50000
452707,Jordan Smith,Mansfield Town,250000,Wypożyczenie,GB4,2018,300000,50000
626888,Kaine Kesler-Hayden,Huddersfield Town,300000,Wypożyczenie,GB2,2022,1000000,700000
626888,Kaine Kesler-Hayden,Milton Keynes Dons,250000,Wypożyczenie,GB3,2021,1000000,750000
626888,Kaine Kesler-Hayden,Swindon Town,250000,Wypożyczenie,GB4,2021,1000000,750000
599739,Xavier Simons,Hull City,300000,Wypożyczenie,GB2,2022,500000,200000
61674,Martyn Waghorn,Huddersfield Town,300000,Wypożyczenie,GB2,2022,300000,0
504386,Emmanuel Longelo,Birmingham City,150000,Wypożyczenie,GB2,2022,800000,650000
503918,Tyrese Fornah,FC Reading,0,Wypożyczenie,GB2,2022,700000,700000
503918,Tyrese Fornah,Shrewsbury Town,0,Wypożyczenie,GB3,2021,700000,700000
503918,Tyrese Fornah,Plymouth Argyle,0,Wypożyczenie,GB3,2020,700000,700000
559330,Salah-Eddine Oulad M'Hand,Hull City,0,Wypożyczenie,GB2,2022,800000,800000
669366,Thomas Cannon,Preston North End,0,Wypożyczenie,GB2,2022,3000000,3000000
724529,Tayo Adaramola,Coventry City,0,Wypożyczenie,GB2,2022,1000000,1000000
531461,Armstrong Oko-Flex,Swansea City,0,Wypożyczenie,GB2,2022,500000,500000
640026,Shola Shoretire,Bolton Wanderers,4000000,Wypożyczenie,GB3,2022,4000000,0
531677,Di'Shon Bernard,FC Portsmouth,3000000,Wypożyczenie,GB3,2022,2000000,-1000000
531677,Di'Shon Bernard,Hull City,1000000,Wypożyczenie,GB2,2021,2000000,1000000
531677,Di'Shon Bernard,Salford City,1000000,Wypożyczenie,GB4,2020,2000000,1000000
430788,Tom Edwards,FC Barnsley,2000000,Wypożyczenie,GB3,2022,1000000,-1000000
430788,Tom Edwards,Fleetwood Town,1000000,Wypożyczenie,GB3,2020,1000000,0
429578,Josh Koroma,FC Portsmouth,2000000,Wypożyczenie,GB3,2022,1000000,-1000000
429578,Josh Koroma,Rotherham United,150000,Wypożyczenie,GB3,2019,1000000,850000
406558,Steven Sessegnon,Charlton Athletic,1000000,Wypożyczenie,GB3,2022,500000,-500000
406558,Steven Sessegnon,Plymouth Argyle,1000000,Wypożyczenie,GB3,2021,500000,-500000
406558,Steven Sessegnon,Bristol City,2000000,Wypożyczenie,GB2,2020,500000,-1500000
561454,Mark McGuinness,Sheffield Wednesday,1000000,Wypożyczenie,GB3,2022,3000000,2000000
561454,Mark McGuinness,Ipswich Town,0,Wypożyczenie,GB3,2020,3000000,3000000
346482,Dan N'Lundulu,Cheltenham Town,1000000,Wypożyczenie,GB3,2022,900000,-100000
346482,Dan N'Lundulu,Bolton Wanderers,1000000,Wypożyczenie,GB3,2022,900000,-100000
346482,Dan N'Lundulu,Cheltenham Town,1000000,Wypożyczenie,GB3,2021,900000,-100000
346482,Dan N'Lundulu,Lincoln City,1000000,Wypożyczenie,GB3,2021,900000,-100000
587002,Myles Peart-Harris,Forest Green Rovers,1000000,Wypożyczenie,GB3,2022,700000,-300000
587003,Lewis Bate,Oxford United,1000000,Wypożyczenie,GB3,2022,1000000,0
581670,Louie Barry,Milton Keynes Dons,1000000,Wypożyczenie,GB3,2022,1000000,0
581670,Louie Barry,Salford City,1000000,Wypożyczenie,GB4,2022,1000000,0
581670,Louie Barry,Ipswich Town,1000000,Wypożyczenie,GB3,2021,1000000,0
581670,Louie Barry,Swindon Town,1000000,Wypożyczenie,GB4,2021,1000000,0
351691,Sam Cosgrove,Plymouth Argyle,1000000,Wypożyczenie,GB3,2022,700000,-300000
351691,Sam Cosgrove,AFC Wimbledon,1000000,Wypożyczenie,GB3,2021,700000,-300000
351691,Sam Cosgrove,Shrewsbury Town,1000000,Wypożyczenie,GB3,2021,700000,-300000
502075,Morgan Whittaker,Plymouth Argyle,1000000,Wypożyczenie,GB3,2022,1000000,0
502075,Morgan Whittaker,Lincoln City,1000000,Wypożyczenie,GB3,2021,1000000,0
624258,Conor Bradley,Bolton Wanderers,1000000,Wypożyczenie,GB3,2022,1000000,0
503976,Dynel Simeu,FC Morecambe,1000000,Wypożyczenie,GB3,2022,800000,-200000
503976,Dynel Simeu,Tranmere Rovers,1000000,Wypożyczenie,GB4,2022,800000,-200000
503976,Dynel Simeu,Carlisle United,1000000,Wypożyczenie,GB4,2021,800000,-200000
406637,Tashan Oakley-Boothe,Lincoln City,900000,Wypożyczenie,GB3,2022,350000,-550000
580765,Henry Lawrence,Milton Keynes Dons,800000,Wypożyczenie,GB3,2022,600000,-200000
580765,Henry Lawrence,AFC Wimbledon,0,Wypożyczenie,GB3,2021,600000,600000
503768,Tyreece John-Jules,Ipswich Town,800000,Wypożyczenie,GB3,2022,800000,0
503768,Tyreece John-Jules,FC Blackpool,0,Wypożyczenie,GB2,2021,800000,800000
503768,Tyreece John-Jules,Sheffield Wednesday,700000,Wypożyczenie,GB3,2021,800000,100000
503768,Tyreece John-Jules,Doncaster Rovers,0,Wypożyczenie,GB3,2020,800000,800000
503768,Tyreece John-Jules,Lincoln City,0,Wypożyczenie,GB3,2019,800000,800000
456877,Rekeem Harper,Exeter City,800000,Wypożyczenie,GB3,2022,450000,-350000
456877,Rekeem Harper,Crewe Alexandra,2000000,Wypożyczenie,GB3,2021,450000,-1550000
456877,Rekeem Harper,Birmingham City,2000000,Wypożyczenie,GB2,2020,450000,-1550000
547534,Josh Martin,FC Barnsley,800000,Wypożyczenie,GB3,2022,700000,-100000
547534,Josh Martin,Milton Keynes Dons,1000000,Wypożyczenie,GB3,2021,700000,-300000
547534,Josh Martin,Doncaster Rovers,1000000,Wypożyczenie,GB3,2021,700000,-300000
314280,Taylor Moore,Shrewsbury Town,800000,Wypożyczenie,GB3,2022,500000,-300000
314280,Taylor Moore,FC Blackpool,1000000,Wypożyczenie,GB3,2019,500000,-500000
314280,Taylor Moore,Southend United,500000,Wypożyczenie,GB3,2018,500000,0
505652,Slobodan Tedic,FC Barnsley,750000,Wypożyczenie,GB3,2022,600000,-150000
686837,Charlie Savage,Forest Green Rovers,600000,Wypożyczenie,GB3,2022,600000,0
461559,Jordon Garrick,Lincoln City,600000,Wypożyczenie,GB3,2022,450000,-150000
461559,Jordon Garrick,Plymouth Argyle,250000,Wypożyczenie,GB3,2021,450000,200000
461559,Jordon Garrick,Swindon Town,250000,Wypożyczenie,GB3,2020,450000,200000
245585,Reece James,Sheffield Wednesday,600000,Wypożyczenie,GB3,2022,500000,-100000
586986,Luke Plange,Lincoln City,600000,Wypożyczenie,GB3,2022,1000000,400000
586986,Luke Plange,Derby County,0,Wypożyczenie,GB2,2021,1000000,1000000
581598,Harvey White,Derby County,600000,Wypożyczenie,GB3,2022,600000,0
581598,Harvey White,FC Portsmouth,0,Wypożyczenie,GB3,2020,600000,600000
105324,Aden Flint,Sheffield Wednesday,600000,Wypożyczenie,GB3,2022,450000,-150000
105324,Aden Flint,Sheffield Wednesday,3000000,Wypożyczenie,GB2,2020,450000,-2550000
503988,Alex Mighten,Sheffield Wednesday,600000,Wypożyczenie,GB3,2022,600000,0
67237,Matty Taylor,Port Vale FC,600000,Wypożyczenie,GB3,2022,400000,-200000
67237,Matty Taylor,Oxford United,750000,Wypożyczenie,GB3,2019,400000,-350000
696346,Jay Stansfield,Exeter City,500000,Wypożyczenie,GB3,2022,1000000,500000
614603,Chem Campbell,Wycombe Wanderers,500000,Wypożyczenie,GB3,2022,1000000,500000
169625,Carl Winchester,Shrewsbury Town,500000,Wypożyczenie,GB3,2022,500000,0
433168,Nathanael Ogbeta,Peterborough United,500000,Wypożyczenie,GB3,2022,500000,0
398063,Luke Southwood,Cheltenham Town,500000,Wypożyczenie,GB3,2022,500000,0
646727,Josh Coburn,Bristol Rovers,500000,Wypożyczenie,GB3,2022,700000,200000
586834,Jesurun Rak-Sakyi,Charlton Athletic,500000,Wypożyczenie,GB3,2022,1000000,500000
614082,Liam McCarron,Port Vale FC,500000,Wypożyczenie,GB3,2022,350000,-150000
533523,Haydon Roberts,Derby County,500000,Wypożyczenie,GB3,2022,500000,0
533523,Haydon Roberts,AFC Rochdale,0,Wypożyczenie,GB3,2020,500000,500000
565979,Josh Griffiths,FC Portsmouth,500000,Wypożyczenie,GB3,2022,1000000,500000
565979,Josh Griffiths,Lincoln City,500000,Wypożyczenie,GB3,2021,1000000,500000
565979,Josh Griffiths,Cheltenham Town,0,Wypożyczenie,GB4,2020,1000000,1000000
419325,Lewis Gibson,Bristol Rovers,500000,Wypożyczenie,GB3,2022,500000,0
419325,Lewis Gibson,Sheffield Wednesday,500000,Wypożyczenie,GB3,2021,500000,0
419325,Lewis Gibson,FC Reading,0,Wypożyczenie,GB2,2020,500000,500000
419325,Lewis Gibson,Fleetwood Town,0,Wypożyczenie,GB3,2019,500000,500000
663225,Tyler Onyango,Forest Green Rovers,450000,Wypożyczenie,GB3,2022,450000,0
663225,Tyler Onyango,Burton Albion,200000,Wypożyczenie,GB3,2022,450000,250000
421443,Charlie Kirk,Burton Albion,400000,Wypożyczenie,GB3,2022,400000,0
421443,Charlie Kirk,FC Blackpool,500000,Wypożyczenie,GB2,2021,400000,-100000
154287,Todd Kane,Charlton Athletic,400000,Wypożyczenie,GB3,2022,250000,-150000
154287,Todd Kane,Hull City,1000000,Wypożyczenie,GB2,2018,250000,-750000
